Unidades Curriculares,Código Fénix,"NovaCodificação",Turno,Semestre,Docentes,2.a,3.a,4.a,5.a,6.a,Sáb
Análise do Discurso,12104,COR1011,TP1A,S1,Maria Amália Pereira Mendes,09:30-11:00,,,,,
Análise do Discurso,12104,COR1011,TP1B,S1,Maria Amália Pereira Mendes,11:00-12:30,,,,,
Análise do Discurso,12104,COR1011,TP2 - ZOOM,S2,Maria Clotilde de Valle-Flor Telles de Freitas Almeida,17:00-18:30,,,,,
Análise do Discurso,12104,COR1011,TP2A,S2,Maria Clotilde de Valle-Flor Telles de Freitas Almeida,,,,,15:30-17:00,
Análise do Discurso,12104,COR1011,TP2B,S2,Maria Clotilde de Valle-Flor Telles de Freitas Almeida,,,,,17:00-18:30,
Análise do Discurso,12104,COR1011,TP3 - ZOOM,S2,Rui Pedro Ribeiro Marques,,,,,12:30-14:00,
Unidades Curriculares,Código Fénix,"NovaCodificação",Turno,Semestre,Docentes,2.a,3.a,4.a,5.a,6.a,Sáb
Análise do Discurso,12104,COR1011,TP3A,S2,Rui Pedro Ribeiro Marques,,,,15:30-17:00,,
Análise do Discurso,12104,COR1011,TP3B,S2,Rui Pedro Ribeiro Marques,,,,17:00-18:30,,
Análise do Discurso,12104,COR1011,TP4 - ZOOM,S2,António Manuel dos Santos Avelar,,08:00-09:30,,,,
Análise do Discurso,12104,COR1011,TP4A,S2,António Manuel dos Santos Avelar,,,08:00-09:30,,,
Análise do Discurso,12104,COR1011,TP4B,S2,António Manuel dos Santos Avelar,,,09:30-11:00,,,
Análise do Discurso e Artes Performativas,97625,LAC2001,TP1 - ZOOM,S1,Maria João Monteiro Brilhante,,,,12:30-14:00,,
Análise do Discurso e Artes Performativas,97625,LAC2001,TP1A,S1,Maria João Monteiro Brilhante,,,12:30-14:00,,,
Análise do Discurso e Artes Performativas,97625,LAC2001,TP1B,S1,Maria João Monteiro Brilhante,12:30-14:00,,,,,
Análise do Espectáculo,11746,LAC2002,TP1 - ZOOM,S2,Rui Manuel Pina Coelho,,,,11:00-12:30,,
Análise do Espectáculo,11746,LAC2002,TP1A,S2,Rui Manuel Pina Coelho,,,12:30-14:00,,,
Análise do Espectáculo,11746,LAC2002,TP1B,S2,Rui Manuel Pina Coelho,,,14:00-15:30,,,
Análise do Texto Dramático,97623,LAC2003,TP1 - ZOOM,S1,Maria João Oliveira Carvalho de Almeida,09:30-11:00,,,,,
Análise do Texto Dramático,97623,LAC2003,TP1A,S1,Maria João Oliveira Carvalho de Almeida,,,14:00-15:30,,,
Análise do Texto Dramático,97623,LAC2003,TP1B,S1,Maria João Oliveira Carvalho de Almeida,,,15:30-17:00,,,
Análise Fílmica,11750,LAC2004,TP1 - ZOOM,S2,Filipa do Rosário/José Alberto Olivença Duarte,,,,09:30-11:00,,
Análise Fílmica,11750,LAC2004,TP1A,S2,Filipa do Rosário/José Alberto Olivença Duarte,,,12:30-14:00,,,
Análise Fílmica,11750,LAC2004,TP1B,S2,Filipa do Rosário/José Alberto Olivença Duarte,,,14:00-15:30,,,
Análise Textual,85006,LIN2002,TP1 - ZOOM,S1,Lucia Comparin,,,,,14:00-15:30,
Análise Textual,85006,LIN2002,TP1A,S1,Lucia Comparin,,,12:30-14:00,,,
Análise Textual,85006,LIN2002,TP1B,S1,Lucia Comparin,,,14:00-15:30,,,
Análise Textual,85006,LIN2002,TP2 - ZOOM,S2,Lucia Comparin,14:00-15:30,,,,,
Análise Textual,85006,LIN2002,TP2A,S2,Lucia Comparin,,,,,15:30-17:00,
Análise Textual,85006,LIN2002,TP2B,S2,Lucia Comparin,,,,,17:00-18:30,
Análise Textual Orientada para a Tradução,86834,LIN2003,TP1 - ZOOM,S1,Lucia Comparin,,,,,14:00-15:30,
Análise Textual Orientada para a Tradução,86834,LIN2003,TP1A,S1,Lucia Comparin,,,12:30-14:00,,,
Análise Textual Orientada para a Tradução,86834,LIN2003,TP1B,S1,Lucia Comparin,,,14:00-15:30,,,
Análise Textual Orientada para a Tradução,86834,LIN2003,TP2 - ZOOM,S2,Lucia Comparin,14:00-15:30,,,,,
