Unidades Curriculares,Código Fénix,"Nova Codificação",Turno,Semestre,Docentes,2.a,3.a,4.a,5.a,6.a,Sáb
Inglês Limiar Avançado (B1.2),11904,LLE2102,TP3 e TP4 - ZOOM,S1,Maria Eduarda de Oliveira Monteiro de Melo Cabrita,14:00-15:30,,,,,
Inglês Limiar Avançado (B1.2),11904,LLE2102,TP4,S1,Maria Eduarda de Oliveira Monteiro de Melo Cabrita,,14:00-15:30,14:00-15:30,,,
Inglês Limiar Avançado (B1.2),11904,LLE2102,TP5,S1,Gaile Parkin,,,,12:30-14:00,12:30-14:00,
Inglês Limiar Avançado (B1.2),11904,LLE2102,TP5 - ZOOM,S1,Gaile Parkin,,,12:30-14:00,,,
Inglês Limiar Avançado (B1.2),11904,LLE2102,TP6,S1,Thomas Joe Grigg,15:30-17:00,,15:30-17:00,,,
Inglês Limiar Avançado (B1.2),11904,LLE2102,TP6 - ZOOM,S1,Thomas Joe Grigg,,,,,15:30-17:00,
Inglês Limiar Avançado (B1.2),11904,LLE2102,TP7,S2,Ana Rita Martins Capela e Silva,,,11:00-12:30,,11:00-12:30,
Inglês Limiar Avançado (B1.2),11904,LLE2102,TP7 - ZOOM,S2,Ana Rita Martins Capela e Silva,11:00-12:30,,,,,
Inglês Limiar Avançado (B1.2),11904,LLE2102,TP8,S2,Gaile Parkin,08:00-09:30,08:00-09:30,,,,
Inglês Limiar Avançado (B1.2),11904,LLE2102,TP8 - ZOOM,S2,Gaile Parkin,,,08:00-09:30,,,
Inglês Limiar Avançado (B1.2),11904,LLE2102,TP9,S2,Isabel Maria Ferro Mealha,,09:30-11:00,09:30-11:00,,,
Inglês Limiar Avançado (B1.2),11904,LLE2102,TP9 - ZOOM,S2,Isabel Maria Ferro Mealha,,,,09:30-11:00,,
Inglês Mestria (C2),12152,LLE3105,TP1,S1,Cláudia Rute Canelas Pereira Duarte,,,,09:30-11:00,09:30-11:00,
Inglês Mestria (C2),12152,LLE3105,TP1 e TP2 - ZOOM,S1,Cláudia Rute Canelas Pereira Duarte,09:30-11:00,,,,,
Inglês Mestria (C2),12152,LLE3105,TP2,S1,Cláudia Rute Canelas Pereira Duarte,,,,12:30-14:00,12:30-14:00,
Inglês Mestria (C2),12152,LLE3105,TP3,S2,Cláudia Rute Canelas Pereira Duarte,,15:30-17:00,,15:30-17:00,,
Inglês Mestria (C2),12152,LLE3105,TP3 - ZOOM,S2,Cláudia Rute Canelas Pereira Duarte,,,,,14:00-15:30,
Unidades Curriculares,Código Fénix,"NovaCodificação",Turno,Semestre,Docentes,2.a,3.a,4.a,5.a,6.a,Sáb
Inglês na América,12512,LAC2068,TP1 - ZOOM,S2,Rita Moreira de Almeida Queiróz de Barros Gonçalves Pereira,11:00-12:30,,,,,
Inglês na América,12512,LAC2068,TP1A,S2,Rita Moreira de Almeida Queiróz de Barros Gonçalves Pereira,,09:30-11:00,,,,
Inglês na América,12512,LAC2068,TP1B,S2,Rita Moreira de Almeida Queiróz de Barros Gonçalves Pereira,,11:00-12:30,,,,
Inglês no Mundo,13004,LAC2069,"TP1 - ZOOM Leccionada emInglês",S1,Rita Moreira de Almeida Queiróz de Barros Gonçalves Pereira,17:00-18:30,,,,,
Inglês no Mundo,13004,LAC2069,TP1A - Leccionada em Inglês,S1,Rita Moreira de Almeida Queiróz de Barros Gonçalves Pereira,,15:30-17:00,,,,
Inglês no Mundo,13004,LAC2069,TP1B - Leccionada em Inglês,S1,Rita Moreira de Almeida Queiróz de Barros Gonçalves Pereira,,17:00-18:30,,,,
Inglês no Mundo,13004,LAC2069,"TP2 - ZOOM Leccionada emInglês",S2,Rita Moreira de Almeida Queiróz de Barros Gonçalves Pereira,14:00-15:30,,,,,
Inglês no Mundo,13004,LAC2069,TP2A - Leccionada em Inglês,S2,Rita Moreira de Almeida Queiróz de Barros Gonçalves Pereira,,,14:00-15:30,,,
Inglês no Mundo,13004,LAC2069,TP2B - Leccionada em Inglês,S2,Rita Moreira de Almeida Queiróz de Barros Gonçalves Pereira,,,15:30-17:00,,,
Inglês no Mundo das Artes (C2),12286,LLE3106,TP1,S1,Cecília Maria Beecher Martins,,,14:00-15:30,14:00-15:30,,
Inglês no Mundo das Artes (C2),12286,LLE3106,TP1 - ZOOM,S1,Cecília Maria Beecher Martins,11:00-12:30,,,,,
Inglês no Mundo das Artes (C2),12286,LLE3106,TP2,S2,Cecília Maria Beecher Martins,15:30-17:00,15:30-17:00,,,,
Inglês no Mundo das Artes (C2),12286,LLE3106,TP2 - ZOOM,S2,Cecília Maria Beecher Martins,,,,15:30-17:00,,
Inglês no Mundo dos Negócios (C2),12290,LLE3107,TP1,S1,Cláudia Rute Canelas Pereira Duarte,,,,11:00-12:30,11:00-12:30,
Inglês no Mundo dos Negócios (C2),12290,LLE3107,TP1 - ZOOM,S1,Cláudia Rute Canelas Pereira Duarte,11:00-12:30,,,,,
Inglês no Mundo dos Negócios (C2),12290,LLE3107,TP2,S1,John Richard Walker,09:30-11:00,09:30-11:00,,,,
Inglês no Mundo dos Negócios (C2),12290,LLE3107,TP2 - ZOOM,S1,John Richard Walker,,,,09:30-11:00,,
Inglês no Mundo dos Negócios (C2),12290,LLE3107,TP3,S2,John Richard Walker,,,,17:00-18:30,17:00-18:30,
Inglês no Mundo dos Negócios (C2),12290,LLE3107,TP3 - ZOOM,S2,John Richard Walker,,,17:00-18:30,,,
Inglês para os Media (C2),12220,LLE3108,TP1,S1,Isabel Maria Ferro Mealha,,08:00-09:30,,08:00-09:30,,
Inglês para os Media (C2),12220,LLE3108,TP1 - ZOOM,S1,Isabel Maria Ferro Mealha,08:00-09:30,,,,,
Inglês para os Media (C2),12220,LLE3108,TP2,S2,Isabel Maria Ferro Mealha,,08:00-09:30,08:00-09:30,,,
Inglês para os Media (C2),12220,LLE3108,TP2 - ZOOM,S2,Isabel Maria Ferro Mealha,,,,08:00-09:30,,
Inglês Proficiência (C1.1),11985,LLE3101,TP1,S1,Tania Josephine Gregg Lopes da Silva,15:30-17:00,,15:30-17:00,,,
Inglês Proficiência (C1.1),11985,LLE3101,TP1 e TP2 - ZOOM,S1,Tania Josephine Gregg Lopes da Silva,,,,17:00-18:30,,
Inglês Proficiência (C1.1),11985,LLE3101,TP10,S2,Cláudia Rute Canelas Pereira Duarte,,14:00-15:30,,14:00-15:30,,
Inglês Proficiência (C1.1),11985,LLE3101,TP11,S2,Rui Vitorino Azevedo,11:00-12:30,,11:00-12:30,,,
Inglês Proficiência (C1.1),11985,LLE3101,TP11 - ZOOM,S2,Rui Vitorino Azevedo,,,,,11:00-12:30,
Inglês Proficiência (C1.1),11985,LLE3101,TP2,S1,Tania Josephine Gregg Lopes da Silva,17:00-18:30,,17:00-18:30,,,
Unidades Curriculares,Código Fénix,"NovaCodificação",Turno,Semestre,Docentes,2.a,3.a,4.a,5.a,6.a,Sáb
Inglês Proficiência (C1.1),11985,LLE3101,TP3,S1,Rui Vitorino Azevedo,08:00-09:30,08:00-09:30,,,,
Inglês Proficiência (C1.1),11985,LLE3101,TP3 e TP4 - ZOOM,S1,Rui Vitorino Azevedo,,,,09:30-11:00,,
Inglês Proficiência (C1.1),11985,LLE3101,TP4,S1,Rui Vitorino Azevedo,09:30-11:00,09:30-11:00,,,,
Inglês Proficiência (C1.1),11985,LLE3101,TP5,S1,Thomas Joe Grigg,14:00-15:30,,14:00-15:30,,,
Inglês Proficiência (C1.1),11985,LLE3101,TP5 - ZOOM,S1,Thomas Joe Grigg,,,,,14:00-15:30,
Inglês Proficiência (C1.1),11985,LLE3101,TP6,S1,Miguel Figueiredo,12:30-14:00,,12:30-14:00,,,
Inglês Proficiência (C1.1),11985,LLE3101,TP6 - ZOOM,S1,Miguel Figueiredo,,,,,12:30-14:00,
Inglês Proficiência (C1.1),11985,LLE3101,TP7,S2,Thomas Joe Grigg,14:00-15:30,,14:00-15:30,,,
Inglês Proficiência (C1.1),11985,LLE3101,TP7 e TP8 - ZOOM,S2,Thomas Joe Grigg,,,,,15:30-17:00,
Inglês Proficiência (C1.1),11985,LLE3101,TP8,S2,Thomas Joe Grigg,15:30-17:00,,15:30-17:00,,,
Inglês Proficiência (C1.1),11985,LLE3101,TP9,S2,Cláudia Rute Canelas Pereira Duarte,,12:30-14:00,,12:30-14:00,,
Inglês Proficiência (C1.1),11985,LLE3101,TP9 e TP10 - ZOOM,S2,Cláudia Rute Canelas Pereira Duarte,,,,,12:30-14:00,
Inglês Proficiência Avançado (C1.2),12141,LLE3102,TP1,S1,Bernardo Manzoni Palmeirim,,17:00-18:30,17:00-18:30,,,
Inglês Proficiência Avançado (C1.2),12141,LLE3102,TP1 - ZOOM,S1,Bernardo Manzoni Palmeirim,17:00-18:30,,,,,
Inglês Proficiência Avançado (C1.2),12141,LLE3102,TP10,S2,David Michael Greer,,,09:30-11:00,09:30-11:00,,
Inglês Proficiência Avançado (C1.2),12141,LLE3102,TP10 - ZOOM,S2,David Michael Greer,,09:30-11:00,,,,
Inglês Proficiência Avançado (C1.2),12141,LLE3102,TP2,S1,John Richard Walker,12:30-14:00,12:30-14:00,,,,
Inglês Proficiência Avançado (C1.2),12141,LLE3102,TP2 - ZOOM,S1,John Richard Walker,,,,12:30-14:00,,
Inglês Proficiência Avançado (C1.2),12141,LLE3102,TP3,S1,Maria Eduarda de Oliveira Monteiro de Melo Cabrita,,15:30-17:00,15:30-17:00,,,
Inglês Proficiência Avançado (C1.2),12141,LLE3102,TP3 - ZOOM,S1,Maria Eduarda de Oliveira Monteiro de Melo Cabrita,15:30-17:00,,,,,
Inglês Proficiência Avançado (C1.2),12141,LLE3102,TP4,S1,Gaile Parkin,,,,11:00-12:30,11:00-12:30,
Inglês Proficiência Avançado (C1.2),12141,LLE3102,TP4 - ZOOM,S1,Gaile Parkin,,,11:00-12:30,,,
Inglês Proficiência Avançado (C1.2),12141,LLE3102,TP5,S2,Bernardo Manzoni Palmeirim,,17:00-18:30,17:00-18:30,,,
Inglês Proficiência Avançado (C1.2),12141,LLE3102,TP5 - ZOOM,S2,Bernardo Manzoni Palmeirim,,,,17:00-18:30,,
Inglês Proficiência Avançado (C1.2),12141,LLE3102,TP7,S2,Maria Eduarda de Oliveira Monteiro de Melo Cabrita,,11:00-12:30,11:00-12:30,,,
Inglês Proficiência Avançado (C1.2),12141,LLE3102,TP7 e TP8 - ZOOM,S2,Maria Eduarda de Oliveira Monteiro de Melo Cabrita,14:00-15:30,,,,,
Inglês Proficiência Avançado (C1.2),12141,LLE3102,TP8,S2,Maria Eduarda de Oliveira Monteiro de Melo Cabrita,,14:00-15:30,14:00-15:30,,,
Inglês Proficiência Avançado (C1.2),12141,LLE3102,TP9,S2,John Richard Walker,,,,12:30-14:00,12:30-14:00,
Inglês Proficiência Avançado (C1.2),12141,LLE3102,TP9 - ZOOM,S2,John Richard Walker,,,12:30-14:00,,,
Unidades Curriculares,Código Fénix,"NovaCodificação",Turno,Semestre,Docentes,2.a,3.a,4.a,5.a,6.a,Sáb
Inglês Vantagem (B2.1),11915,LLE2103,TP1,S1,Ana Rita Martins Capela e Silva,12:30-14:00,12:30-14:00,,,,
Inglês Vantagem (B2.1),11915,LLE2103,TP1 e TP2 - ZOOM,S1,Ana Rita Martins Capela e Silva,,,,,14:00-15:30,
Inglês Vantagem (B2.1),11915,LLE2103,TP10,S2,Hilda Alexandra Prazeres Eusébio,,,,14:00-15:30,14:00-15:30,
Inglês Vantagem (B2.1),11915,LLE2103,TP10 e TP11 - ZOOM,S2,Hilda Alexandra Prazeres Eusébio,,,14:00-15:30,,,
Inglês Vantagem (B2.1),11915,LLE2103,TP11,S2,Hilda Alexandra Prazeres Eusébio,,,,15:30-17:00,15:30-17:00,
Inglês Vantagem (B2.1),11915,LLE2103,TP12,S2,Isabel Maria Ferro Mealha,,11:00-12:30,11:00-12:30,,,
Inglês Vantagem (B2.1),11915,LLE2103,TP12 - ZOOM,S2,Isabel Maria Ferro Mealha,,,,11:00-12:30,,
Inglês Vantagem (B2.1),11915,LLE2103,TP2,S1,Ana Rita Martins Capela e Silva,14:00-15:30,14:00-15:30,,,,
Inglês Vantagem (B2.1),11915,LLE2103,TP3,S1,Hilda Alexandra Prazeres Eusébio,,15:30-17:00,,15:30-17:00,,
Inglês Vantagem (B2.1),11915,LLE2103,TP3 e TP4 - ZOOM,S1,Hilda Alexandra Prazeres Eusébio,18:30-20:00,,,,,
Inglês Vantagem (B2.1),11915,LLE2103,TP4,S1,Hilda Alexandra Prazeres Eusébio,,18:30-20:00,,18:30-20:00,,
Inglês Vantagem (B2.1),11915,LLE2103,TP5,S1,Katarzyna Dominika Karpowicz-Osowska,15:30-17:00,,15:30-17:00,,,
Inglês Vantagem (B2.1),11915,LLE2103,TP5 e TP6 - ZOOM,S1,Katarzyna Dominika Karpowicz-Osowska,,,,,15:30-17:00,
Inglês Vantagem (B2.1),11915,LLE2103,TP6,S1,Katarzyna Dominika Karpowicz-Osowska,17:00-18:30,,17:00-18:30,,,
Inglês Vantagem (B2.1),11915,LLE2103,TP7,S2,Katarzyna Dominika Karpowicz-Osowska,,15:30-17:00,15:30-17:00,,,
Inglês Vantagem (B2.1),11915,LLE2103,TP7 e TP8 - ZOOM,S2,Katarzyna Dominika Karpowicz-Osowska,17:00-18:30,,,,,
Inglês Vantagem (B2.1),11915,LLE2103,TP8,S2,Katarzyna Dominika Karpowicz-Osowska,,17:00-18:30,17:00-18:30,,,
Inglês Vantagem (B2.1),11915,LLE2103,TP9,S2,Ana Rita Martins Capela e Silva,,,12:30-14:00,,12:30-14:00,
Inglês Vantagem (B2.1),11915,LLE2103,TP9 - ZOOM,S2,Ana Rita Martins Capela e Silva,12:30-14:00,,,,,
Inglês Vantagem Avançado (B2.2),11926,LLE2104,TP1,S1,Paula Alexandra Carvalho Alves Rodrigues Horta,,12:30-14:00,12:30-14:00,,,
Inglês Vantagem Avançado (B2.2),11926,LLE2104,TP1 e TP2 - ZOOM,S1,Paula Alexandra Carvalho Alves Rodrigues Horta,,,,12:30-14:00,,
Inglês Vantagem Avançado (B2.2),11926,LLE2104,TP10,S2,Gaile Parkin,12:30-14:00,12:30-14:00,,,,
Inglês Vantagem Avançado (B2.2),11926,LLE2104,TP10 - ZOOM,S2,Gaile Parkin,,,12:30-14:00,,,
Inglês Vantagem Avançado (B2.2),11926,LLE2104,TP11,S2,Thomas Joe Grigg,17:00-18:30,,17:00-18:30,,,
Inglês Vantagem Avançado (B2.2),11926,LLE2104,TP11 - ZOOM,S2,Thomas Joe Grigg,,,,,17:00-18:30,
Inglês Vantagem Avançado (B2.2),11926,LLE2104,TP12,S2,Ana Rita Martins Capela e Silva,,,14:00-15:30,,14:00-15:30,
Inglês Vantagem Avançado (B2.2),11926,LLE2104,TP12 - ZOOM,S2,Ana Rita Martins Capela e Silva,14:00-15:30,,,,,
Inglês Vantagem Avançado (B2.2),11926,LLE2104,TP2,S1,Paula Alexandra Carvalho Alves Rodrigues Horta,,14:00-15:30,14:00-15:30,,,
Inglês Vantagem Avançado (B2.2),11926,LLE2104,TP3,S1,David Michael Greer,09:30-11:00,,09:30-11:00,,,
Unidades Curriculares,Código Fénix,"NovaCodificação",Turno,Semestre,Docentes,2.a,3.a,4.a,5.a,6.a,Sáb
Inglês Vantagem Avançado (B2.2),11926,LLE2104,TP3 e TP4 - ZOOM,S1,David Michael Greer,,,,11:00-12:30,,
Inglês Vantagem Avançado (B2.2),11926,LLE2104,TP4,S1,David Michael Greer,11:00-12:30,,11:00-12:30,,,
Inglês Vantagem Avançado (B2.2),11926,LLE2104,TP5,S1,Ana Rita Martins Capela e Silva,15:30-17:00,15:30-17:00,,,,
Inglês Vantagem Avançado (B2.2),11926,LLE2104,TP5 - ZOOM,S1,Ana Rita Martins Capela e Silva,,,,,15:30-17:00,
Inglês Vantagem Avançado (B2.2),11926,LLE2104,TP6,S1,Katarzyna Dominika Karpowicz-Osowska,,17:00-18:30,,17:00-18:30,,
Inglês Vantagem Avançado (B2.2),11926,LLE2104,TP6 - ZOOM,S1,Katarzyna Dominika Karpowicz-Osowska,,,,,17:00-18:30,
Inglês Vantagem Avançado (B2.2),11926,LLE2104,TP7,S2,David Michael Greer,,,08:00-09:30,08:00-09:30,,
Inglês Vantagem Avançado (B2.2),11926,LLE2104,TP7 - ZOOM,S2,David Michael Greer,,08:00-09:30,,,,
Inglês Vantagem Avançado (B2.2),11926,LLE2104,TP8,S2,Paula Alexandra Carvalho Alves Rodrigues Horta,,,11:00-12:30,,11:00-12:30,
Inglês Vantagem Avançado (B2.2),11926,LLE2104,TP8 - ZOOM,S2,Paula Alexandra Carvalho Alves Rodrigues Horta,,11:00-12:30,,,,
Inglês Vantagem Avançado (B2.2),11926,LLE2104,TP9,S2,Gaile Parkin,09:30-11:00,09:30-11:00,,,,
Inglês Vantagem Avançado (B2.2),11926,LLE2104,TP9 - ZOOM,S2,Gaile Parkin,,,09:30-11:00,,,
Iniciação à Língua Grega I,45432,LLE1081,TP1,S1,Cristina Maria Negrão Abranches Guerreiro,,12:30-14:00,12:30-14:00,,,
Iniciação à Língua Grega I,45432,LLE1081,TP1 - ZOOM,S1,Cristina Maria Negrão Abranches Guerreiro,12:30-14:00,,,,,
Iniciação à Língua Grega II,45443,LLE1082,TP1,S2,Ana Alexandra Tibúrcio Lopes Alves de Sousa,12:30-14:00,,12:30-14:00,,,
Iniciação à Língua Grega II,45443,LLE1082,TP1 - ZOOM,S2,Ana Alexandra Tibúrcio Lopes Alves de Sousa,,,,12:30-14:00,,
Iniciação à Língua Latina I,45454,LLE1131,TP1,S1,Bernardo Machado Mota,,15:30-17:00,,15:30-17:00,,
Iniciação à Língua Latina I,45454,LLE1131,TP1 - ZOOM,S1,Bernardo Machado Mota,15:30-17:00,,,,,
Iniciação à Língua Latina I,45454,LLE1131,TP2,S1,Catarina Isabel Sousa Gaspar,,11:00-12:30,11:00-12:30,,,
Iniciação à Língua Latina I,45454,LLE1131,TP2 - ZOOM,S1,Catarina Isabel Sousa Gaspar,11:00-12:30,,,,,
Iniciação à Língua Latina II,45465,LLE1132,TP1,S2,André Filipe Veloso Nunes Simões,14:00-15:30,,14:00-15:30,,,
Iniciação à Língua Latina II,45465,LLE1132,TP1 e TP2 - ZOOM,S2,André Filipe Veloso Nunes Simões,,,,11:00-12:30,,
Iniciação à Língua Latina II,45465,LLE1132,TP2,S2,André Filipe Veloso Nunes Simões,17:00-18:30,,17:00-18:30,,,
Iniciação à Prática Teatral,98036,LAC1001,TP1,S1,José Manuel Ávila Costa,,,,,15:30-17:00,
Iniciação à Prática Teatral,98036,LAC1001,TP1,S1,José Manuel Ávila Costa,,,,,17:00-18:30,
Iniciação à Prática Teatral,98036,LAC1001,TP2,S2,José Manuel Ávila Costa,,,,,15:30-17:00,
Iniciação à Prática Teatral,98036,LAC1001,TP2,S2,José Manuel Ávila Costa,,,,,17:00-18:30,
Integração Europeia: Teorias e Instituições,51123,HIS2111,TP1 - ZOOM,S1,Teresa Maria e Sousa Nunes,,,09:30-11:00,,,
Integração Europeia: Teorias e Instituições,51123,HIS2111,TP1A,S1,Teresa Maria e Sousa Nunes,,,,,08:00-09:30,
Unidades Curriculares,Código Fénix,"NovaCodificação",Turno,Semestre,Docentes,2.a,3.a,4.a,5.a,6.a,Sáb
Integração Europeia: Teorias e Instituições,51123,HIS2111,TP1B,S1,Teresa Maria e Sousa Nunes,,,,,09:30-11:00,
Introdução à Arqueologia,77621,HIS1001,TP1 - ZOOM,S1,Ana Catarina de Freitas Alves Bravo de Sousa,,,15:30-17:00,,,
Introdução à Arqueologia,77621,HIS1001,TP1A,S1,Ana Catarina de Freitas Alves Bravo de Sousa,12:30-14:00,,,,,
Introdução à Arqueologia,77621,HIS1001,TP1B,S1,Ana Catarina de Freitas Alves Bravo de Sousa,14:00-15:30,,,,,
Introdução à Economia,51125,XFD1001,TP1 - ZOOM,S2,Docente a Indicar,,,,,12:30-14:00,
Introdução à Economia,51125,XFD1001,TP1A,S2,Miguel Sousa Ferro,,11:00-12:30,,,,
Introdução à Economia,51125,XFD1001,TP1B,S2,Miguel Sousa Ferro,,,11:00-12:30,,,
Introdução à Egiptologia,75483,HIS2140,TP1,S2,Rogério Paulo Nunes Ferreira de Sousa,12:30-14:00,,,,,
Introdução à Egiptologia,75483,HIS2140,TP1 - ZOOM,S2,Rogério Paulo Nunes Ferreira de Sousa,,,,,15:30-17:00,
Introdução à Epigrafia,76302,HIS1002,TP1 - ZOOM,S1,Amilcar Manuel Ribeiro Guerra,,,,09:30-11:00,,
Introdução à Epigrafia,76302,HIS1002,TP1A,S1,Amilcar Manuel Ribeiro Guerra,,,11:00-12:30,,,
Introdução à Epigrafia,76302,HIS1002,TP1B,S1,Amilcar Manuel Ribeiro Guerra,,,12:30-14:00,,,
Introdução à Geografia da Ásia,24892,HIS1003,TP1 - ZOOM,S1,Francisco Roque de Oliveira,09:30-11:00,,09:30-11:00,,,
Introdução à História de África,76440,HIS1004,TP1 - ZOOM,S1,José Augusto Nunes da Silva Horta,,,11:00-12:30,,,
Introdução à História de África,76440,HIS1004,TP1A,S1,José Augusto Nunes da Silva Horta,,,,09:30-11:00,,
Introdução à História de África,76440,HIS1004,TP1B,S1,José Augusto Nunes da Silva Horta,,,,11:00-12:30,,
Introdução à Historiografia,77676,HIS1006,TP1 - ZOOM,S2,Maria de Fátima Marques Dias Antunes dos Reis,,08:00-09:30,,,,
Introdução à Historiografia,77676,HIS1006,TP1A,S2,Maria de Fátima Marques Dias Antunes dos Reis,08:00-09:30,,,,,
Introdução à Historiografia,77676,HIS1006,TP1B,S2,Maria de Fátima Marques Dias Antunes dos Reis,09:30-11:00,,,,,
Introdução à Historiografia,77676,HIS1006,TP2 - ZOOM,S2,Ana Filipa Firmino Sequeira Pinto Roldão/Maria de Fátima Marques Dias Antunes dos Reis,,,,14:00-15:30,,
Introdução à Historiografia,77676,HIS1006,TP2A,S2,Ana Filipa Firmino Sequeira Pinto Roldão/Maria de Fátima Marques Dias Antunes dos Reis,,,14:00-15:30,,,
Introdução à Historiografia,77676,HIS1006,TP2B,S2,Ana Filipa Firmino Sequeira Pinto Roldão/Maria de Fátima Marques Dias Antunes dos Reis,,,15:30-17:00,,,
Introdução à Linguística Eslava,86404,LIN1002,TP1,S2,"Ana Carina Fernandes dos Santos Prokopyshyn/Anna Nemcova de Almeida/Antonia Radkova/GueorguiNenov Hristovski/Mateja Rozman/Nailia Rafikovna Baldé",,,12:30-14:00,,,
Introdução à Linguística Eslava,86404,LIN1002,TP1 - ZOOM,S2,"Ana Carina Fernandes dos Santos Prokopyshyn/Anna Nemcova de Almeida/Antonia Radkova/GueorguiNenov Hristovski/Mateja Rozman/Nailia Rafikovna Baldé",,,,,12:30-14:00,
Introdução à Museologia,77250,HIS1007,TP1 - ZOOM,S2,Fernando Jorge Artur Grilo,,,15:30-17:00,,,
Introdução à Museologia,77250,HIS1007,TP1A,S2,Fernando Jorge Artur Grilo,14:00-15:30,,,,,
Introdução à Museologia,77250,HIS1007,TP1B,S2,Fernando Jorge Artur Grilo,15:30-17:00,,,,,
Introdução à Museologia,77250,HIS1007,TP2 - ZOOM,S2,Joana Maria Balsa Carvalho de Pinho,,,09:30-11:00,,,
Introdução à Museologia,77250,HIS1007,TP2A,S2,Joana Maria Balsa Carvalho de Pinho,,08:00-09:30,,,,
Unidades Curriculares,Código Fénix,"NovaCodificação",Turno,Semestre,Docentes,2.a,3.a,4.a,5.a,6.a,Sáb
Introdução à Museologia,77250,HIS1007,TP2B,S2,Joana Maria Balsa Carvalho de Pinho,,09:30-11:00,,,,
Introdução à Paleografia e Diplomática,77610,HIS1008,TP1 e TP2 - ZOOM,S1,Bernardo Maria Godinho de Sá Nogueira,,,,,09:30-11:00,
Introdução à Paleografia e Diplomática,77610,HIS1008,TP1A,S1,Bernardo Maria Godinho de Sá Nogueira,09:30-11:00,,,,,
Introdução à Paleografia e Diplomática,77610,HIS1008,TP1B,S1,Bernardo Maria Godinho de Sá Nogueira,11:00-12:30,,,,,
Introdução à Paleografia e Diplomática,77610,HIS1008,TP2A,S1,Bernardo Maria Godinho de Sá Nogueira,,14:00-15:30,,,,
Introdução à Paleografia e Diplomática,77610,HIS1008,TP2B,S1,Bernardo Maria Godinho de Sá Nogueira,,15:30-17:00,,,,
Introdução à Paleografia e Diplomática,77610,HIS1008,TP3 - ZOOM,S2,Bernardo Maria Godinho de Sá Nogueira,,,11:00-12:30,,,
Introdução à Paleografia e Diplomática,77610,HIS1008,TP3A,S2,Bernardo Maria Godinho de Sá Nogueira,,11:00-12:30,,,,
Introdução à Paleografia e Diplomática,77610,HIS1008,TP3B,S2,Bernardo Maria Godinho de Sá Nogueira,,12:30-14:00,,,,
Introdução à Prática Cinematográfica,99874,LAC1006,TP1 - ZOOM,S2,José Alberto Olivença Duarte,,,08:00-09:30,,,
Introdução à Prática Cinematográfica,99874,LAC1006,TP1A,S2,José Alberto Olivença Duarte,,14:00-15:30,,,,
Introdução à Prática Cinematográfica,99874,LAC1006,TP1B,S2,José Alberto Olivença Duarte,,15:30-17:00,,,,
Introdução à Problemática das Ciências Humanas,98025,FIL2041,TP1 - ZOOM,S2,Nuno Gabriel de Castro Nabais dos Santos,09:30-11:00,,,,,
Introdução à Problemática das Ciências Humanas,98025,FIL2041,TP1A,S2,Nuno Gabriel de Castro Nabais dos Santos,,09:30-11:00,,,,
Introdução à Problemática das Ciências Humanas,98025,FIL2041,TP1B,S2,Nuno Gabriel de Castro Nabais dos Santos,,,,,09:30-11:00,
Introdução à Terminologia,85020,LIN1004,TP1 - ZOOM,S1,Margarita Maria Correia Ferreira,,15:30-17:00,,,,
Introdução à Terminologia,85020,LIN1004,TP1A,S1,Margarita Maria Correia Ferreira,,,,,12:30-14:00,
Introdução à Terminologia,85020,LIN1004,TP1B,S1,Margarita Maria Correia Ferreira,,,,,14:00-15:30,
Introdução à Terminologia,85020,LIN1004,TP2 - ZOOM,S1,Guilhermina Augusta Pelicano Jorge,,08:00-09:30,,,,
Introdução à Terminologia,85020,LIN1004,TP2A,S1,Guilhermina Augusta Pelicano Jorge,,,08:00-09:30,,,
Introdução à Terminologia,85020,LIN1004,TP2B,S1,Guilhermina Augusta Pelicano Jorge,,,09:30-11:00,,,
Introdução ao Desenho Arqueológico,77691,HIS1027,TP1  e TP2 - ZOOM,S1,Catarina Ferrer Dias Viegas Taveira/Cristina Maria Gameiro Gonçalves,,,12:30-14:00,,,
Introdução ao Desenho Arqueológico,77691,HIS1027,TP1A,S1,Catarina Ferrer Dias Viegas Taveira/Cristina Maria Gameiro Gonçalves,,12:30-14:00,,,,
Introdução ao Desenho Arqueológico,77691,HIS1027,TP1B,S1,Catarina Ferrer Dias Viegas Taveira/Cristina Maria Gameiro Gonçalves,,14:00-15:30,,,,
Introdução ao Desenho Arqueológico,77691,HIS1027,TP2A,S1,Catarina Ferrer Dias Viegas Taveira/Cristina Maria Gameiro Gonçalves,12:30-14:00,,,,,
Introdução ao Desenho Arqueológico,77691,HIS1027,TP2B,S1,Catarina Ferrer Dias Viegas Taveira/Cristina Maria Gameiro Gonçalves,14:00-15:30,,,,,
Introdução ao Direito,51120,XFD1002,P1,S1,José Duarte Nogueira,,,15:30-17:00,,,
Introdução ao Direito,51120,XFD1002,P2,S1,José Duarte Nogueira,,,17:00-18:30,,,
Introdução ao Direito,51120,XFD1002,T1 - ZOOM,S1,José Duarte Nogueira,,,,17:00-18:30,,
Unidades Curriculares,Código Fénix,"NovaCodificação",Turno,Semestre,Docentes,2.a,3.a,4.a,5.a,6.a,Sáb
